SolarCF
0
0
0
0
0
0
0
0
0.019
0.045
0.082
0.109
0.139
0.066
0.002
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.163
0.351
0.453
0.461
0.374
0.204
0.02
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.112
0.223
0.223
0.136
0.107
0.055
0.002
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.015
0.099
0.185
0.336
0.319
0.164
0.015
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.028
0.18
0.299
0.395
0.338
0.188
0.023
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.044
0.117
0.196
0.234
0.199
0.091
0.007
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0.01
0.015
0.025
0.034
0.024
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.003
0.014
0.013
0.009
0.017
0.016
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.046
0.1
0.151
0.219
0.247
0.159
0.025
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.013
0.032
0.05
0.073
0.067
0.033
0.003
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.003
0.019
0.072
0.205
0.254
0.157
0.021
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.015
0.019
0.015
0.017
0.015
0.004
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.007
0.016
0.018
0.019
0.041
0.014
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0.1
0.203
0.272
0.4
0.365
0.2
0.033
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.009
0.019
0.019
0.014
0.004
0
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.006
0.016
0.021
0.016
0.004
0.001
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.011
0.02
0.022
0.03
0.036
0.026
0.004
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.013
0.215
0.406
0.502
0.511
0.439
0.282
0.063
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.024
0.061
0.085
0.112
0.078
0.037
0.005
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.006
0.082
0.211
0.27
0.269
0.223
0.132
0.027
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.009
0.029
0.07
0.084
0.076
0.045
0.007
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.003
0.051
0.115
0.162
0.209
0.152
0.089
0.019
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.018
0.15
0.302
0.392
0.404
0.344
0.22
0.057
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.029
0.202
0.366
0.513
0.497
0.382
0.243
0.066
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.007
0.061
0.113
0.155
0.174
0.116
0.048
0.009
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.005
0.042
0.076
0.103
0.121
0.09
0.049
0.01
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.004
0.012
0.018
0.02
0.017
0.01
0.002
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.011
0.026
0.031
0.026
0.023
0.014
0.003
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.091
0.321
0.457
0.525
0.511
0.432
0.263
0.063
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.037
0.151
0.271
0.343
0.369
0.279
0.143
0.04
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.01
0.052
0.1
0.12
0.11
0.084
0.05
0.013
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.031
0.165
0.355
0.463
0.472
0.38
0.158
0.042
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.002
0.014
0.025
0.036
0.051
0.05
0.03
0.013
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.033
0.111
0.228
0.296
0.366
0.232
0.14
0.061
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.033
0.189
0.322
0.23
0.115
0.05
0.021
0.007
0
0
0
0
0
0
0
0
